none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es-es
UI_VIP_EXCLUSIVEPROMOTIONS,EXCLUSIVE PROMOTIONS,,,,,,,,,PROMOÇÕES EXCLUSIVAS,
UI_VIP_Reach,Reach higher rank to unlock unique beneftis,,,,,,,,,Suba de nível para liberar mais privilégios,
UI_VIP_CLUB,VIP CLUB,,,,,,,,,CLUBE VIP,
UI_VIP_BECOME,Become a part of VIP Club to get exclusive bonuses,,,,,,,,,Faça parte do VIP Club para obter bônus exclusivos,
UI_VIP_My_rank,My rank,,,,,,,,,Meu posto,
UI_VIP_Relegation,"The current bit is degraded, and the vip level is restored as long as the following amount is recharged",,,,,,,,,"O bit atual é degradado e o nível vip é restaurado, desde que o seguinte valor seja recarregado",
UI_VIP_Level_protection,Level protection,,,,,,,,,Nível de proteção,
UI_VIP_Member_privilege,Member privilege,,,,,,,,,Privilégio de membro,
UI_VIPReduced_CONTENT,You have lost VIP privileges and benefits. You can restore vipS{1} by recharging S{2}.,,,,,,,,,Você perdeu privilégios e benefícios VIP. Você pode restaurar o vipS{1} recarregando o S{2}.,
UI_VIP_Recharge,Recharge,,,,,,,,,Depósito,
UI_VIP_CashBack,CashBack,,,,,,,,,Dinheiro volta,
UI_VIP_Bonus,Bonus,,,,,,,,,Bônus,
UI_VIP_keepTip,You need to top up {gold} to become a VIP customer again,,,,,,,,,Precisa recarregar {gold} para voltar a ser o cliente VIP,
UI_Code_Name,Name,,,,,,,,,Nome,
UI_Code_Ownedplatform,Platform,,,,,,,,,Plataforma,
UI_Code_WashCodeRatio,Bet Bonus,,,,,,,,,Aposta Bonus,
UI_Continue,Continue,,,,,,,,,Continuar,
UI_Quit,Quit,,,,,,,,,Sair,
UI_Code_Bonus,Bonus,,,,,,,,,Bônus,
UI_Code_HistoryDetails,Details,,,,,,,,,Detalhes,
UI_Code_HistoryNodata,No data,,,,,,,,,Sem dados,
UI_All_Service,Service,,,,,,,,,Suporte,
UI_All_Jump,Go to View,,,,,,,,,Vai ver,
UI_Hall_ChangeAvatar,Change avatar,,,,,,,,,Editar,
UI.PageMore_Invite,Invite,,,,,,,,,Convidar,
UI.Setting_CANCEL,CANCEL,,,,,,,,,CANCELAR,
UI.Common_History,History,,,,,,,,,História,
UI_Privileges,Privileges,,,,,,,,,Privilegios,
UI_Promote,Refer,,,,,,,,,Referência,
UI_Directly_under,Directly under,,,,,,,,,Diretamente,
UI_Monthly_Card,Daily Bonus,,,,,,,,,Bônus Diarios,
UI_Shop_Mon_Card_Txt_0,Buy now and get,,,,,,,,,Compre agora e obter,
UI_Shop_Mon_Card_Txt_1,Get daily,,,,,,,,,Obter diariamente,
UI_Shop_Mon_Card_Txt_2,Get in total,,,,,,,,,Total,
Code_Shop_Mon_Card_Txt_1,Remain,,,,,,,,,Permanecer,
UI_Limited_Sale,Limited Sale,,,,,,,,,Venda limitada,
"UI_EditBoxZipCode	",Zip Code,,,,,,,,,Código postal,
Code_PleaseEnterTaxid,Please enter Tax id,,,,,,,,,"Por favor, introduz CPF",
Code_PleaseEnterZipCode,Please enter Zip Code,,,,,,,,,"Por favor, introduza o CEP",
UI_Shop_InputTaxId,Input CPF,,,,,,,,,Entrada CPF,
UI_Shop_InputZipCode,Input Zip Code,,,,,,,,,Preencha o CEP,
UI_Cash_AccountType,Account Type,,,,,,,,,Tipo de Conta,
UI_Cash_Checkcode,Check code,,,,,,,,,Verificar código,
UI_Cash_InputCheckcode,Input Check code,,,,,,,,,Código de verificação de entrada,
UI_Cash_BranchBankName,Branch Bank Name,,,,,,,,,Nome do banco da filial,
UI_Cash_order_no,Order id:,,,,,,,,,ID da ordem:,
UI.cashout_Details_Remarks,Remarks:,,,,,,,,,Observações:,
UI_LoginAccount,My Account,,,,,,,,,Minha conta,
UI.cashout_Details_RealName,Name:,,,,,,,,,Nome:,
UI_Cash_PixType,Pix type:,,,,,,,,,Tipo Pix:,
UI_Cash_IFSCCode,IFSC Code,,,,,,,,,IFSC Code,
UI.cashout_Details_Telephone,Telephone:,,,,,,,,,Telefone:,
UI.cashout_Details_Email,Email:,,,,,,,,,Email:,
UI_Cash_DetailisTaxid,CPF:,,,,,,,,,CPF:,
UI_Successfully_Sent,Successfully sent verification code,,,,,,,,,Código de verificação enviado com sucesso,
Bao_Dian_Err2,Must be greater than 1.01,,,,,,,,,Deve ser maior que 1.01,
Bao_Dian_Err1,At least 1,,,,,,,,,Pelo menos 1,
Bao_Dian_Manual,Normal,,,,,,,,,normais,
Bao_Dian_Auto,Auto,,,,,,,,,Automático,
Bao_Dian_Quantia,Amount,,,,,,,,,Quantia,
Bao_Dian_Saque,Auto Withdraw,,,,,,,,,Auto Retirar,
Bao_Dian_sposta,Bet,,,,,,,,,aposta,
Bao_Dian_NextSposta,Bet (next round),,,,,,,,,aposta\n(proxima rodada),
Bao_Dian_Cancelar,Cancel,,,,,,,,,Cancelar,
Bao_Dian_Sucesso,Success,,,,,,,,,Sucesso,
Bao_Dian_Esperando,Waiting,,,,,,,,,Esperando,
Bao_Dian_vitoria,Victory,,,,,,,,,vitória,
Bao_Dian_MyScore,My bets,,,,,,,,,Minhas apostas,
Bao_Dian_Histroy,Historical,,,,,,,,,histórico,
Bao_Dian_Id,Round ID,,,,,,,,,ID da rodada,
Bao_Dian_BetAll,Auto Withdraw/Bets,,,,,,,,,Auto Retirar/Apostas,
Bao_Dian_Time,Time,,,,,,,,,Hora,
Bao_Dian_Result,Result,,,,,,,,,Resultado,
Bao_Dian_AutoWin,Stop when winning,,,,,,,,,Parar ao ganhar,
Bao_Dian_AutoLost,Stop when losing,,,,,,,,,Parar ao perder,
Bao_Dian_Always,Reset,,,,,,,,,Redefinir,
Bao_Dian_Add,Increase,,,,,,,,,Aumentar,
Bao_Dian_ByWin,By winning,,,,,,,,,Ao vencer,
Bao_Dian_ByFail,By losing,,,,,,,,,Ao Perder,
Bao_Dian_CanAuto,Start AutoBet,,,,,,,,,Iniciar Autoaposta,
Bao_Dian_AutoIng,Stop AutoBet,,,,,,,,,Parar AutoBet,
Bao_Dian_Apostas,Rounds,,,,,,,,,Rodadas,
Bao_Dian_Btnsaque,Withdraw,,,,,,,,,Auto Retirar,
Bao_Dian_Rank,Rank,,,,,,,,,Classificação,
Bao_Dian_Name,Name,,,,,,,,,inhame,
Bao_Dian_Bonues,Bonues,,,,,,,,,bônus,
UI_Second_Bet,Second Bet,,,,,,,,,Segunda Aposta,
Double_rolls,Previous Rolls,,,,,,,,,Rolos anteriores,
Double_cur,Current Round,,,,,,,,,Rodada atual,
Double_his,My History,,,,,,,,,Minha história,
Double_choose,Multiplier,,,,,,,,,Multiplicador,
Double_profit,Profit,,,,,,,,,Lucro,
UI.Tips,Tips,,,,,,,,,Conselhos,
UI.RechargeActivity,Recharge activity,,,,,,,,,Atividade de recarga,
LR_Payout,Chance to win,,,,,,,,,Chance ganhar,
LR_Higher,Higher,,,,,,,,,Mais alto,
LR_Lower,Lower,,,,,,,,,Abaixar,
LR_YOU_WIN,YOU WIN,,,,,,,,,VOCÊ GANHA,
LR_YOU_LOSE,YOU LOSE,,,,,,,,,VOCÊ PERDEU,
LR_GOOD_LUCK,GOOD LUCK,,,,,,,,,BOA SORTE,
LR_Start Game,Start Game,,,,,,,,,Iniciar jogo,
UI_LR_help1,"Place a bet and predict a Lucky number by controlling the slider.Choose Roll over"" or ""Roll under"" the chosen number""",,,,,,,,,"Faça uma aposta e preveja um número da Sorte controlando o controle deslizante. Escolha Roll over"" ou ""Roll under"" o número escolhido""",
UI_LR_help2,"Random number generator will choose the winning number from 0 to 999. If the lucky number is the chosen range, you win!",,,,,,,,,"O gerador de números aleatórios escolherá o número vencedor de 0 a 999. Se o número da sorte for o intervalo escolhido, você ganha!",
UI_Paste_the_Pix,Paste the Pix code into your preferred banking app or digtal wallet and cofirm the payment.,,,,,,,,,Cole o código Pix em seu aplicativo bancário preferido ou carteira digital e confirme o pagamento.,
UI_Pay until,Pay until:,,,,,,,,,Pague até:,
UI.Amount,Amount:,,,,,,,,,Taxa:,
UI_Deposit information,Deposit information,,,,,,,,,Informações de depósito,
UI_Please_open,Please open your payment app and scan the QR code below to pay.,,,,,,,,,Abra seu aplicativo de pagamento e digitalize o código QR abaixo para pagar.,
UI_Shop_USDT_Orderid,Order id,,,,,,,,,Código de pedido,
UI_Shop_USDT_Amount,3rdParty USDT Deposit,,,,,,,,,3rdParty USDT Deposit,
UI_Shop_USDT_WalletAddress,Wallet address,,,,,,,,,Endereço de carteira,
UI_Shop_USDT_CreateTime,Create time,,,,,,,,,Solicitado em,
UI_Shop_USDT_Validtime,Expires in,,,,,,,,,Expira em,
UI_Shop_USDT_Depositinformation,Deposit information,,,,,,,,,Taxa de câmbio de criptomoeda,
UI_Shop_USDT_Tether,1 USDT ≈,,,,,,,,,1 USDT ≈,
UI_Shop_USDT_TetherText,USDT,,,,,,,,,USDT,
UI_Shop_USDT_Total,Total:S{gold},,,,,,,,,Total:S{gold},
UI_Cash_TitleBankcard,Bank card,,,,,,,,,Bank card,
UI_Cash_TitleGcash,Gcash,,,,,,,,,Gcash,
UI_Cash_TitlePayMaya,PayMaya Philippines,,,,,,,,,PayMaya Philippines,
UI.Shop_CPF_LengthHint,CPF digits must be 11 or 14,,,,,,,,,Os dígitos do CPF devem ser 11 ou 14,
UI_Cash_USDT_EncryptedAccount,#NAME?,,,,,,,,,#NAME?,
UI_Cash_USDT_Encryptedaccount,<b><color=#59677C>Encrypted account</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Conta criptografada</color><color=#ff0000>*</color></b>,
UI_Cash_USDT_Encryptedaccount_1,Encrypted account,,,,,,,,,Conta criptografada,
UI_Cash_USDT_Bankout,Bank Withdraw,,,,,,,,,Banco sacar,
UI_Cash_USDT_USDTout,USDT Withdraw,,,,,,,,,USDT sacar ,
UI_Cash_USDT_inputEncryptedaccount,input Encrypted,,,,,,,,,entrada conta criptografada,
UI_Cash_StarColor_BankName,<b><color=#59677C>Bank Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do banco</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_BankName_1,Bank Name,,,,,,,,,Nome do banco,
UI_Cash_StarColor_BranchBankName,<b><color=#59677C>Branch Bank Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do banco da agência</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_UserName,<b><color=#59677C>Beneficiary Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do Beneficiário</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Pixtype,<b><color=#59677C>Pix type</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Tipo de pixel</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Pix,<b><color=#59677C>Chave Pix (CPF)</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Chave Pix (CPF)</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_IFSCCode,<b><color=#59677C>CPF</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>CPF</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_PhoneNumber,<b><color=#59677C>Phone Number</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Telefone n.o</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_TaxID,<b><color=#59677C>Tax Id</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Tax Id</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Rfc,<b><color=#59677C>RFC</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>RFC</color><color=#ff0000>*</color></b>,
UI_Bonuses,Bonuses Center,,,,,,,,,Centro de bônus,
UI_Reward,Bonus,,,,,,,,,Bônus,
UI_DocumentType,Document type,,,,,,,,,Document type,
UI_CardType,Card type,,,,,,,,,Card type,
UI_Rfc_Null,You did not fill in the RFC number,,,,,,,,,You did not fill in the RFC number,
UI_CURP_Null,You did not fill in the CURP number,,,,,,,,,You did not fill in the CURP number,
UI_Card_Null,You did not fill in your bank card number,,,,,,,,,You did not fill in your bank card number,
UI_Cash_StarColor_CURP,<b><color=#59677C>CURP</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>CURP</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Debit,<b><color=#59677C>Debit</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Debit</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Phone,<b><color=#59677C>Phone</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Phone</color><color=#ff0000>*</color></b>,
UI_Cash_StarColor_Clabe,<b><color=#59677C>Clabe</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Clabe</color><color=#ff0000>*</color></b>,
SC_goldRefreshLoading,Loading,,,,,,,,,Carregando,
UI_Loading_FailedTip,Failed to load,,,,,,,,,Falha ao carregar,
UI_Loading_FailedBtn,Back to lobby,,,,,,,,,Voltar ao lobby,
UI_Loading_FailedLabel,"Failed to load game resources, click the button to return to the lobby",,,,,,,,,"Falha ao carregar recursos do jogo, clique no botão para voltar ao lobby",
Slot777_TotalBet,Bet Amount,,,,,,,,,Suma aposta,
Shop_Bonus,Bonus,,,,,,,,,Bônus,
Shop_Cash,Cash,,,,,,,,,Dinheiro,
DZPK_Desk_Dec,Small/Big blind:,,,,,,,,,Pequeno/Grande cego:,
DZPK_PRIORITY_2PAIRS,Two pair,,,,,,,,,Dois pares,
DZPK_PRIORITY_ACE_SERIAL_SAME,Royal Straight Flush,,,,,,,,,Royal Straight Flush,
DZPK_PRIORITY_MISC,High card,,,,,,,,,Carta Alta,
DZPK_PRIORITY_PAIR,One pair,,,,,,,,,Um par,
DZPK_PRIORITY_SAME,Flush,,,,,,,,,Flush,
DZPK_PRIORITY_SERIAL,Straight,,,,,,,,,Direito,
DZPK_PRIORITY_SERIAL_SAME,Straight Flush,,,,,,,,,Flush Direito,
DZPK_PRIORITY_SQUARE,Four of a kind,,,,,,,,,Quatro tipos,
DZPK_PRIORITY_TRIPLE,Three of a kind,,,,,,,,,Três de um tipo,
DZPK_PRIORITY_TRIPLE_PAIR,Full house,,,,,,,,,Casa completa,
DZPK_Type_Intermdiate,Intermdiate,,,,,,,,,Intermdiate,
DZPK_Type_Master,Master,,,,,,,,,Mestre,
DZPK_Type_Primary,Primary,,,,,,,,,Primary,
DZPK_Type_Senior,Senior,,,,,,,,,Senior,
DZPK_Wiat_For,Matching with other players,,,,,,,,,Concordar com outros jogadores,
UI_Game_Start,Game start,,,,,,,,,Começo do jogo,
UI_betBonus_goldlbl,You still have more than 1 bonus to claim.,,,,,,,,,Você ainda tem mais de 1 bônus para reivindicar.,
UI_game_rule,Rule,,,,,,,,,Regras,
UI_Win,Win,,,,,,,,,Ganhar,
SC_LessRecChips,You need to recharge {S1} chips to enter the game,,,,,,,,,Você precisa recarregar {S1}  fichas para entrar no jogo,
SC_LessThanChips,"Less than {S1} chips, you need to recharge",,,,,,,,,"Menos moedas de {S1}, você precisa recargar",
Bet_Bonus_Tips,You can claim Bet Bonus when the Bonus Receive is higher than 1,,,,,,,,,Você pode reivindicar Bonus de Apostas quando Receber Bonus superior a 1,
UI_GoldReward,Click the screen to continue,,,,,,,,,Clique na tela para continuar,
UI_Loss_Waiver_Title,Chhath Puja,,,,,,,,,Chhath Puja,
UI_Loss_Waiver_Max,Max Bonus Back,,,,,,,,,Bonus máximo de volta,
UI_Loss_Waiver_Days,Day(s),,,,,,,,,Dia(s),
UI_Loss_Waiver_Ex,Receive,,,,,,,,,Receber,
UI_Loss_Waiver_Help1,"1. Never afraid to lose. Even if you are falling, you will rise again.",,,,,,,,,"1. Nunca tem medo de perder. Mesmo se você estiver caindo, você se levantará novamente.",
UI_Loss_Waiver_Help2,2. 20% of your daily loss will become bonus upto 3000rs.,,,,,,,,,2. 20% de sua perda diária se tornará um bônus de até 3000rs.,
UI_Loss_Waiver_Help3,3.You could claim welcome bonus when it is expired.,,,,,,,,,3. Receba o bônus abaixo após o dia.,
UI_Mines_cashout,CASHOUT,,,,,,,,,SAQUE,
UI_Mines_Bet,Bet,,,,,,,,,Mas,
UI_Mines_START,START,,,,,,,,,COMEÇAR,
UI_Mines_Stop,Stop,,,,,,,,,Pare,
UI_Mines_Autopick,Autopick,,,,,,,,,Escolha automática,
UI_Mines_Mines,Mines,,,,,,,,,Minas,
UI_Mines_Bets,Bets,,,,,,,,,Apostas,
UI_Mines_Gold,Gold,,,,,,,,,Ouro,
UI_Game620_modified,"Bets have been placed, game parameters cannot be modified",,,,,,,,,"Bets have been placed, game parameters cannot be modified",
UI_Game620_Welcome,Welcome to the Minesweeper game,,,,,,,,,Bem-vindo ao jogo Campo Minado,
UI_Promote_expanin,"Want to earn S{number}+ a month at home? Refer people continuously, brilliant future and massive income are waiting for you.",,,,,,,,,"Quer ganhar S{number}+ por mês em casa? Indique pessoas continuamente, um futuro brilhante e uma renda enorme estão esperando por você.",
UI_Promote_expaninTitle,Affiliate Program,,,,,,,,,Programa Afiliado,
UI_Promote_expaninstate,lncome Model,,,,,,,,,Modelo lancôme,
UI_Promote_Voce,You,,,,,,,,,Você,
UI_Promote_divulgacao,Wager Rebates,,,,,,,,,Descontos Apostas,
UI_Promote_Cashback,Refer Members,,,,,,,,,Indicar membros,
UI_Promote_Direto,Level 1,,,,,,,,,Nível 1,
UI_Promote_Level2,Level 2,,,,,,,,,Nível 2,
UI_Promote_Level3,Level 3,,,,,,,,,Nível 3,
UI_Member,Member,,,,,,,,,Membro,
UI_Promote_Commission_today,Commission today,,,,,,,,,A Comissão hoje,
UI_Promote_DirectComToday,Direct commission today,,,,,,,,,Comissão direta hoje,
UI_Promote_DirectmembersNew,Direct members(new),,,,,,,,,Membros diretos (novos),
UI_Promote_NumberofTeamNew,Number of Team(new),,,,,,,,,Número da Equipe (nova),
UI_Promote_ShareLink,Your referral link,,,,,,,,,Seu link de referência,
UI_Promote_ShareTitle,Share via:,,,,,,,,,Compartilhar via:,
UI_Notice_Hide,Fold,,,,,,,,,Dobrar,
UI_Menu_Allpromotions,All promotions,,,,,,,,,Todas promoções,
UI_Menu_AllGames,Home,,,,,,,,,Casa,
UI_Top_Wallet,Deposit,,,,,,,,,Depósito,
UI_Official_Channel,Official Channel,,,,,,,,,Official Channel,
UI_BOTTOM_TXT,This website offers gaming with risk experience. To be a user of our site you must be over 18 y.o. We are not responsible for the violation of your local laws.,,,,,,,,,"Este site oferece jogos com experiência de risco. Para ser um usuário do nosso site, você deve ter mais de 18 anos. Não somos responsáveis",
UI_PLAYER_INFO,Edit,,,,,,,,,Editar,
UI_PLAYER_USERNAME,Change username,,,,,,,,,Mudar nome de usuário,
UI_CASHOUT_DokyPay,DokyPay,,,,,,,,,Pagamento Doky,
UI_CASHOUT_Cashfree,Cashfree,,,,,,,,,Sem dinheiro,
UI_CASHOUT_ENTERTOP,Enter your amount,,,,,,,,,Digite seu valor,
UI_CASHOUT_ENTER_AMOUNT,Please enter your amount,,,,,,,,,"Por favor, insira seu valor",
UI_CASHOUT_Mypay,Mypay,,,,,,,,,Meu pagamento,
UI_CASHOUT_Corrente,Corrente,,,,,,,,,Corrente,
UI_CASHOUT_Poupan,Savings,,,,,,,,,Poupança,
UI_REFER_EARN,REFER\nEARN,,,,,,,,,REFERIR\nGANHE,
UI_BETTING_BONUS,BETTING\nBONUS,,,,,,,,,APOSTAS\nBÔNUS,
UI_Log_in,Log in,,,,,,,,,Entrar,
UI_Sign_Up,Register,,,,,,,,,Cadastre-se,
UI_Login,Login,,,,,,,,,Entrar,
UI_Signup,Register,,,,,,,,,Cadastre-se,
UI_Remember,Remember me,,,,,,,,,Lembre de mim,
UI_EnterMail,Email,,,,,,,,,Email,
UI_Forget_Password,Forget password?,,,,,,,,,Esqueceu a senha?,
UI_Password,Password,,,,,,,,,Senha,
UI_Orignupwith,Or sign up with,,,,,,,,,Ou inscreva-se com,
UI_BonttomSignUp,<<Sign Up,,,,,,,,,<<Inscreva-se,
UI_Dont_account,Don't you have an account,,,,,,,,,Você não tem uma conta,
UI_have_account,Already have an account?,,,,,,,,,Já possui uma conta?,
UI_BONTTOM_BYTIT,By accessing the site.I confirm that I am 18 years old and I have read the,,,,,,,,,Alcançando o local. Eu confirmo que eu tenho 18 anos velho e eu li,
UI_BONTTOM_BYTIT1,I confirm that I am 18 years old and I have read the,,,,,,,,,"Informações de confirmação, tenho mais de 18 anos",
UI_Terms_of_Service,Terms of Service,,,,,,,,,Termos de serviço,
UI_Receive_Email,Receive Email promos,,,,,,,,,Receba promoções por e-mail,
UI_Create_account,Confirm Change,,,,,,,,,Confirmar alteração,
UI_Redefinir_TOP,Confirm New Password,,,,,,,,,Confirme nova senha,
UI_Change_Password,Change Password,,,,,,,,,Mudar senha,
UI_Confirm_Change,Confirm Change,,,,,,,,,Confirmar alteração,
UI_Promo_code,Promo code (optional),,,,,,,,,Código promocional (opcional),
UI_ForgotPassword_TOP,Forgot Password,,,,,,,,,Esqueceu a senha,
UI_Reset_Password,Reset password,,,,,,,,,Redefinir senha,
UI_Load_more,Load more,,,,,,,,,Carregue mais,
UI_Cashback_for_rank,Ratio of Bet Bonus,,,,,,,,,Relação do Bônus de Aposta,
UI_BET_BONUS,BET  BONUS,,,,,,,,,BÔNUS DE APOSTA,
UI_BET_RATIO,RATIO,,,,,,,,,RAZÃO,
UI_GAME_Player,Player,,,,,,,,,Jogador,
UI_GAME_Odds,Profit,,,,,,,,,Chances,
UI_Notice_Personal,Personal,,,,,,,,,Personal,
UI_Email_del,Delete,,,,,,,,,Excluir,
UI_View_all,View all,,,,,,,,,Ver tudo,
UI_LOGIN_Phone,Phone,,,,,,,,,Telefone,
UI_LOGIN_Mail,Mail,,,,,,,,,Correio,
UI_Input_PixType,Input PixType,,,,,,,,,Pix de entradaTipo,
UI_Commossion,Withdrawal Fee:,,,,,,,,,Taxa de saque:,
UI_Input_Pix,Input Pix (CPF),,,,,,,,,Pix de entrada (CPF),
UI_SLOT_BOUNS,BONUS WIN,,,,,,,,,BÔNUS DE VITÓRIA,
UI_SLOT_CREDIT,BALANCE,,,,,,,,,EQUILÍBRIO,
UI_SLOT_BASE_BET,BASE BET,,,,,,,,,APOSTA BASE,
UI_SLOT_History_BaseBet,BaseBet,,,,,,,,,Aposta Base,
UI_777slot_help1,"Select the game amount and then bet on the fruit, click the GO button to start the game",,,,,,,,,"Depois de ganhar na loteria, você pode escolher o tamanho do palpite, se adivinhar, o prêmio em dinheiro aumentará novamente",
UI_777slot_help2,"After winning the lottery, you can choose the size of the guess and the bonus will increase again if you guess correctly.",,,,,,,,,"Depois de ganhar na loteria, você pode escolher o tamanho do palpite e o bônus aumentará novamente se você adivinhar corretamente",
UI_777slot2_HELP,HELP,,,,,,,,,HELP,
UI_GAME_Earn,Earn,,,,,,,,,Ganhar,
UI_Charge_Deposit notes,Deposit notes,,,,,,,,,Notas de depósito,
UI_Menu_DownloadHint,Scan code to download,,,,,,,,,Digitalize o código para baixar,
UI_Menu_downloadAndroid,Download for Android,,,,,,,,,Baixar para Android,
UI_Menu_downloadApple,Download for App,,,,,,,,,Baixar para aplicativo,
UI_Menu_APPDownload,APP Download,,,,,,,,,Baixar APP,
UI_Login_prompt1,Your need to tick terms!,,,,,,,,,Sua necessidade de marcar termos!,
UI_Login_prompt2,Your need to tick Email promos!,,,,,,,,,Sua necessidade de marcar promoções de e-mail!,
UI_Login_prompt3,Your need to tick verification code!,,,,,,,,,Sua necessidade de marcar o código de verificação!,
UI_Login_prompt5,Email format error,,,,,,,,,Erro de formato de e-mail,
UI_Login_prompt6,The two passwords are inconsistent,,,,,,,,,As duas senhas são inconsistentes,
UI_Login_prompt7,'Your password contains illegal characters!',,,,,,,,,Sua senha contém caracteres ilegais!,
UI_Retirada,Withdrawal,,,,,,,,,Retirada,
UI_Desbloqueie,Play to unlock more withdrawable amount,,,,,,,,,Jogue para desbloquear mais quantia extraível,
UI_Saque_Disponível,Withdrawable Amount,,,,,,,,,Montante Saqueável,
UI_Volor_resgate,Amount to be unlocked,,,,,,,,,Valor a ser desbloqueado,
UI_recHis,Deposit History,,,,,,,,,Histórico de depósitos,
UI_wthHis,Withdrawal History,,,,,,,,,Histórico de retirada,
UI_Date,Date,,,,,,,,,Encontro,
UI_ID_tran,Transaction ID,,,,,,,,,ID transação,
UI_Valor_do,Amount,,,,,,,,,Quantia,
UI_Montante_real,Total Amount,,,,,,,,,Valor total,
UI_Taxa_da_retirada,Withdraw fee,,,,,,,,,Taxa de saque,
UI_Account_History,Transactions,,,,,,,,,Transações,
UI_Account_charge,charge,,,,,,,,,charge,
UI_DownCopyed,Copied successfully. Download will start soon.,,,,,,,,,Copiado com sucesso. O download começará em breve.,
UI_Copyed,Copy successful,,,,,,,,,Copiado com sucesso,
UI_Share_Code_howdance,"Exclusive Affiliate Program, Making Money Easier",,,,,,,,,"Programa de afiliados exclusivo, tornando o dinheiro mais fácil",
UI_Share_SeeAllbonuses,See all bonuses,,,,,,,,,Veja todos os bônus,
UI_Promote_TitleType,Type,,,,,,,,,Tipo,
UI_BODIAN_BETTIP,You can switch after the round,,,,,,,,,Você pode mudar após a rodada,
UI_AllActivityBtnTitleMore,Click for more>>,,,,,,,,,Clique para mais>>,
UI_TopCoupon,Promotion,,,,,,,,,Promoção,
UI_My_Profiler,My Profiler,,,,,,,,,Meu Profiler,
UI_AllActivityTitlePromocqes,Promotions,,,,,,,,,Promoções,
UI_TopMenuTitle,Refer,,,,,,,,,Partilhar,
ExitTip,Press back again to exit,,,,,,,,,Press back again to exit,
UI_Call_Ser,Customer service,,,,,,,,,Serviço de clientes,
UI_Cash_Branckbank,Branck bank,,,,,,,,,Branck bank,
UI_Cash_BankCode,Bank code,,,,,,,,,Bank code,
UI_Cash_AccountDigit,Account digit,,,,,,,,,Account digit,
UI_Balance,Balance,,,,,,,,,Equilíbrio,
UI_Balance_explanation,"When the coding progress is 100% satisfied, the amount can be withdrawn into the account balance.",,,,,,,,,"Quando o progresso da codificação estiver 100% satisfeito, o valor poderá ser sacado no saldo da conta.",
UI_WITHDRAw,WITHDRAW,,,,,,,,,SAQUE,
UI_Next,Next,,,,,,,,,Próximo,
UI_TIP1,TIPS,,,,,,,,,DICAS,
UI_BDHELP_1,"Before the countdown ends Press ""Bet"" and follow the rocket's flight.",,,,,,,,,"Antes que a contagem regressiva termine Pressione ""Apostar"" e siga o vôo do foguete.",
UI_BDHELP_2,Withdraw funds before the rocket explodes in space to not lose the bet.,,,,,,,,,Retirar fundos antes da explosão do foguetão no espaço para não perder a aposta.,
UI_Startthegame,Start the game,,,,,,,,,Comece a jogo,
UI_NUMBER_MINES,NUMBER OF MINES,,,,,,,,,NÚMERO DE MINAS,
UI_MINES_help1,"Place a bet, choose the amount of bombs and press 'Play'",,,,,,,,,"Faça uma aposta, escolha a quantidade de bombas e prima 'Play'",
UI_MINES_help2,"The greater the number of bombs on the playing field, the greater the win ratio.",,,,,,,,,"Quanto maior for o número de bombas no campo de jogo, maior é a proporção de vitória.",
UI_MINES_help3,but watch out for the bombs!,,,,,,,,, mas cuidado com as bombas!,
UI_MINES_help4,Get your winnings before you detonate a bomb and lose your bet!,,,,,,,,,Receba os seus ganhos antes de detonar numa bomba e perca a sua aposta!,
UI_NEW_MINES_help1,"Place a bet, choose the amount of bombs and press 'Bet'",,,,,,,,,"Faça uma aposta, escolha a quantidade de bombas e aperte 'Jogar'",
UI_Wheel_Bind,Bind your phone number to get lucky draw,,,,,,,,,Bind your phone number to get lucky draw,
