none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
Double_choose,Multiplier,,,,,,,,,Multiplicador,multiplicador
Double_profit,Profit,,,,,,,,,Lucro,Ganancia
UI.Tips,Tips,,,,,,,,,Conselhos,consejos
UI.RechargeActivity,Recharge activity,,,,,,,,,Atividade de recarga,actividad de recarga
LR_Payout,Chance to win,,,,,,,,,Chance ganhar,oportunidad de ganar
LR_Higher,Higher,,,,,,,,,Mais alto,más alto
LR_Lower,Lower,,,,,,,,,Abaixar,más bajo 
LR_YOU_WIN,YOU WIN,,,,,,,,,VOCÊ GANHA,tú ganas
LR_YOU_LOSE,YOU LOSE,,,,,,,,,VOCÊ PERDEU,tú pierdes
LR_GOOD_LUCK,GOOD LUCK,,,,,,,,,BOA SORTE,buena suerte
LR_Start Game,Start Game,,,,,,,,,Iniciar jogo,empezar el juego
UI_LR_help1,"Place a bet and predict a Lucky number by controlling the slider.Choose Roll over"" or ""Roll under"" the chosen number""",,,,,,,,,"Faça uma aposta e preveja um número da Sorte controlando o controle deslizante. Escolha Roll over"" ou ""Roll under"" o número escolhido""","Realice una apuesta y prediga un número de la suerte controlando el control deslizante. Elija ""Roll over"" o ""Roll under"" en el número elegido.
"
UI_LR_help2,"Random number generator will choose the winning number from 0 to 999. If the lucky number is the chosen range, you win!",,,,,,,,,"O gerador de números aleatórios escolherá o número vencedor de 0 a 999. Se o número da sorte for o intervalo escolhido, você ganha!","El generador de números aleatorios elegirá el número ganador del 0 al 999. Si el número de la suerte es el rango elegido, ¡usted gana!"
UI_Paste_the_Pix,Paste the Pix code into your preferred banking app or digtal wallet and cofirm the payment.,,,,,,,,,Cole o código Pix em seu aplicativo bancário preferido ou carteira digital e confirme o pagamento.,Pegue el código Pix en su aplicación bancaria preferida o billetera digital y confirme el pago.
UI_Pay until,Pay until:,,,,,,,,,Pague até:,Paga hasta:
UI.Amount,Amount:,,,,,,,,,Taxa:,Monto:
UI_Deposit information,Deposit information,,,,,,,,,Informações de depósito,Información de depósito
UI_Please_open,Please open your payment app and scan the QR code below to pay.,,,,,,,,,Abra seu aplicativo de pagamento e digitalize o código QR abaixo para pagar.,por favor abra su aplicación de pago y escanee el código QR a continuación para pagar.
UI_Shop_USDT_Orderid,Order id,,,,,,,,,Código de pedido,ID de orden
UI_Shop_USDT_Amount,3rdParty USDT Deposit,,,,,,,,,3rdParty USDT Deposit,Depósito USDT de terceros
UI_Shop_USDT_WalletAddress,Wallet address,,,,,,,,,Endereço de carteira,dirección de la billetera
UI_Shop_USDT_CreateTime,Create time,,,,,,,,,Solicitado em,crear tiempo
UI_Shop_USDT_Validtime,Expires in,,,,,,,,,Expira em,Expira en
UI_Shop_USDT_Depositinformation,Deposit information,,,,,,,,,Taxa de câmbio de criptomoeda,Información de depósito
UI_Shop_USDT_Tether,1 USDT ≈,,,,,,,,,1 USDT ≈,1 USDT ≈
UI_Shop_USDT_TetherText,USDT,,,,,,,,,USDT,USDT
UI_Shop_USDT_Total,Total:S{gold},,,,,,,,,Total:S{gold},Total:S{gold}
UI_Cash_TitleBankcard,Bank card,,,,,,,,,Bank card,Bank card
UI_Cash_TitleGcash,Gcash,,,,,,,,,Gcash,Gcash
UI_Cash_TitlePayMaya,PayMaya Philippines,,,,,,,,,PayMaya Philippines,PayMaya Philippines
UI.Shop_CPF_LengthHint,CPF digits must be 11 or 14,,,,,,,,,Os dígitos do CPF devem ser 11 ou 14,Los dígitos del CPF deben ser 11 o 14
UI_Cash_USDT_EncryptedAccount,#NAME?,,,,,,,,,#NAME?,#NAME?
UI_Cash_USDT_Encryptedaccount,<b><color=#59677C>Encrypted account</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Conta criptografada</color><color=#ff0000>*</color></b>,<b><color=#59677C>Cuenta encriptada</color><color=#ff0000>*</color></b>
UI_Cash_USDT_Encryptedaccount_1,Encrypted account,,,,,,,,,Conta criptografada,Cuenta encriptada
UI_Cash_USDT_Bankout,Bank Withdraw,,,,,,,,,Banco sacar,Retiro bancario
UI_Cash_USDT_USDTout,USDT Withdraw,,,,,,,,,USDT sacar ,Retiro de USDT
UI_Cash_USDT_inputEncryptedaccount,input Encrypted,,,,,,,,,entrada conta criptografada,entrada cifrada
UI_Cash_StarColor_BankName,<b><color=#59677C>Bank Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do banco</color><color=#ff0000>*</color></b>,<b><color=#59677C>Nombre del banco</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_BankName_1,Bank Name,,,,,,,,,Nome do banco,Nombre del banco
UI_Cash_StarColor_BranchBankName,<b><color=#59677C>Branch Bank Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do banco da agência</color><color=#ff0000>*</color></b>,<b><color=#59677C>Nombre de la sucursal bancaria</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_UserName,<b><color=#59677C>Beneficiary Name</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Nome do Beneficiário</color><color=#ff0000>*</color></b>,<b><color=#59677C>Nombre del beneficiario</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_Pixtype,<b><color=#59677C>Pix type</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Tipo de pixel</color><color=#ff0000>*</color></b>,<b><color=#59677C>Tipo de pix</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_Pix,<b><color=#59677C>Chave Pix (CPF)</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Chave Pix (CPF)</color><color=#ff0000>*</color></b>,<b><color=#59677C>Chave Pix (CPF)</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_IFSCCode,<b><color=#59677C>CPF</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>CPF</color><color=#ff0000>*</color></b>,<b><color=#59677C>CPF</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_PhoneNumber,<b><color=#59677C>Phone Number</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Telefone n.o</color><color=#ff0000>*</color></b>,<b><color=#59677C>Número de teléfono</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_TaxID,<b><color=#59677C>Tax Id</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Tax Id</color><color=#ff0000>*</color></b>,<b><color=#59677C>Identificación fiscal</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_Rfc,<b><color=#59677C>RFC</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>RFC</color><color=#ff0000>*</color></b>,<b><color=#59677C>RFC</color><color=#ff0000>*</color></b>
UI_Bonuses,Bonuses Center,,,,,,,,,Centro de bônus,Centro de Bonos
UI_Reward,Bonus,,,,,,,,,Bônus,Bonos
UI_DocumentType,Document type,,,,,,,,,Document type,Tipos de credenciales
UI_CardType,Card type,,,,,,,,,Card type,Tipo de tarjeta
UI_Rfc_Null,You did not fill in the RFC number,,,,,,,,,You did not fill in the RFC number,No completaste el número de RFC
UI_CURP_Null,You did not fill in the CURP number,,,,,,,,,You did not fill in the CURP number,No completaste el número de CURP
UI_Card_Null,You did not fill in your bank card number,,,,,,,,,You did not fill in your bank card number,No has introducido el número de tarjeta bancaria
UI_Cash_StarColor_CURP,<b><color=#59677C>CURP</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>CURP</color><color=#ff0000>*</color></b>,<b><color=#59677C>CURP</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_Debit,<b><color=#59677C>Debit</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Debit</color><color=#ff0000>*</color></b>,<b><color=#59677C>Debit</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_Phone,<b><color=#59677C>Phone</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Phone</color><color=#ff0000>*</color></b>,<b><color=#59677C>Phone</color><color=#ff0000>*</color></b>
UI_Cash_StarColor_Clabe,<b><color=#59677C>Clabe</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Clabe</color><color=#ff0000>*</color></b>,<b><color=#59677C>Clabe</color><color=#ff0000>*</color></b>
SC_goldRefreshLoading,Loading,,,,,,,,,Carregando,Cargando
UI_Loading_FailedTip,Failed to load,,,,,,,,,Falha ao carregar,Falló al cargar
UI_Loading_FailedBtn,Back to lobby,,,,,,,,,Voltar ao lobby,Volver al lobby
UI_Loading_FailedLabel,"Failed to load game resources, click the button to return to the lobby",,,,,,,,,"Falha ao carregar recursos do jogo, clique no botão para voltar ao lobby","Error al cargar los recursos del juego, haz clic en el botón para volver al lobby"
Slot777_TotalBet,Bet Amount,,,,,,,,,Suma aposta,Monto de la apuesta
Shop_Bonus,Bonus,,,,,,,,,Bônus,Bonos
Shop_Cash,Cash,,,,,,,,,Dinheiro,Dinero
DZPK_Desk_Dec,Small/Big blind:,,,,,,,,,Pequeno/Grande cego:,Ciega pequeña/grande:
DZPK_PRIORITY_2PAIRS,Two pair,,,,,,,,,Dois pares,Dos pares
DZPK_PRIORITY_ACE_SERIAL_SAME,Royal Straight Flush,,,,,,,,,Royal Straight Flush,Escalera real de color
DZPK_PRIORITY_MISC,High card,,,,,,,,,Carta Alta,carta alta
DZPK_PRIORITY_PAIR,One pair,,,,,,,,,Um par,Un par
DZPK_PRIORITY_SAME,Flush,,,,,,,,,Flush,color
DZPK_PRIORITY_SERIAL,Straight,,,,,,,,,Direito,escalera
DZPK_PRIORITY_SERIAL_SAME,Straight Flush,,,,,,,,,Flush Direito,Escalera de color
DZPK_PRIORITY_SQUARE,Four of a kind,,,,,,,,,Quatro tipos,Cuatro de un tipo
DZPK_PRIORITY_TRIPLE,Three of a kind,,,,,,,,,Três de um tipo,Tres de un tipo
DZPK_PRIORITY_TRIPLE_PAIR,Full house,,,,,,,,,Casa completa,full house
DZPK_Type_Intermdiate,Intermdiate,,,,,,,,,Intermdiate,intermedio
DZPK_Type_Master,Master,,,,,,,,,Mestre,Maestro
DZPK_Type_Primary,Primary,,,,,,,,,Primary,Primario
DZPK_Type_Senior,Senior,,,,,,,,,Senior,Sénior
DZPK_Wiat_For,Matching with other players,,,,,,,,,Concordar com outros jogadores,buscando otros jugadores
UI_Game_Start,Game start,,,,,,,,,Começo do jogo,Empezar juego
UI_betBonus_goldlbl,You still have more than 1 bonus to claim.,,,,,,,,,Você ainda tem mais de 1 bônus para reivindicar.,Todavía tienes más de 1 bono para reclamar.
UI_game_rule,Rule,,,,,,,,,Regras,Regla
UI_Win,Win,,,,,,,,,Ganhar,Victoria
SC_LessRecChips,You need to recharge {S1} chips to enter the game,,,,,,,,,Você precisa recarregar {S1}  fichas para entrar no jogo,Necesitas recargar {S1} fichas para entrar al juego
SC_LessThanChips,"Less than {S1} chips, you need to recharge",,,,,,,,,"Menos moedas de {S1}, você precisa recargar","Menos de {S1} fichas, necesitas recargar"
Bet_Bonus_Tips,You can claim Bet Bonus when the Bonus Receive is higher than 1,,,,,,,,,Você pode reivindicar Bonus de Apostas quando Receber Bonus superior a 1,Puede reclamar el Bono de apuesta cuando el Bono recibido es superior a 1
UI_GoldReward,Click the screen to continue,,,,,,,,,Clique na tela para continuar,Haga clic en la pantalla para continuar
UI_Loss_Waiver_Title,Chhath Puja,,,,,,,,,Chhath Puja,Chhath Puya
UI_Loss_Waiver_Max,Max Bonus Back,,,,,,,,,Bonus máximo de volta,Devolución de bonificación máxima
UI_Loss_Waiver_Days,Day(s),,,,,,,,,Dia(s),Días)
UI_Loss_Waiver_Ex,Receive,,,,,,,,,Receber,Recibir
UI_Loss_Waiver_Help1,"1. Never afraid to lose. Even if you are falling, you will rise again.",,,,,,,,,"1. Nunca tem medo de perder. Mesmo se você estiver caindo, você se levantará novamente.","1. Nunca miedo a perder. Incluso si estás cayendo, te levantarás de nuevo."
UI_Loss_Waiver_Help2,2. 20% of your daily loss will become bonus upto 3000rs.,,,,,,,,,2. 20% de sua perda diária se tornará um bônus de até 3000rs.,2. El 20 % de su pérdida diaria se convertirá en una bonificación de hasta 3000rs.
UI_Loss_Waiver_Help3,3.You could claim welcome bonus when it is expired.,,,,,,,,,3. Receba o bônus abaixo após o dia.,3. Puede reclamar el bono de bienvenida cuando expire.
UI_Mines_cashout,CASHOUT,,,,,,,,,SAQUE,RETIRO
UI_Mines_Bet,Bet,,,,,,,,,Mas,apostar
UI_Mines_START,START,,,,,,,,,COMEÇAR,COMIENZO
UI_Mines_Stop,Stop,,,,,,,,,Pare,Deténgase
UI_Mines_Autopick,Autopick,,,,,,,,,Escolha automática,selección automática
UI_Mines_Mines,Mines,,,,,,,,,Minas,Minas
UI_Mines_Bets,Bets,,,,,,,,,Apostas,Apuestas
UI_Mines_Gold,Gold,,,,,,,,,Ouro,Oro
UI_Game620_modified,"Bets have been placed, game parameters cannot be modified",,,,,,,,,"Bets have been placed, game parameters cannot be modified",
UI_Game620_Welcome,Welcome to the Minesweeper game,,,,,,,,,Bem-vindo ao jogo Campo Minado,Bienvenido al juego Buscaminas
UI_Promote_expanin,"Want to earn S{number}+ a month at home? Refer people continuously, brilliant future and massive income are waiting for you.",,,,,,,,,"Quer ganhar S{number}+ por mês em casa? Indique pessoas continuamente, um futuro brilhante e uma renda enorme estão esperando por você.","¿Quieres ganar S{número}+ al mes en casa? Recomiende a las personas continuamente, un futuro brillante e ingresos masivos lo están esperando."
UI_Promote_expaninTitle,Affiliate Program,,,,,,,,,Programa Afiliado,Programa de afiliación
UI_Promote_expaninstate,lncome Model,,,,,,,,,Modelo lancôme,Modelo de ingresos
UI_Promote_Voce,You,,,,,,,,,Você,Usted
UI_Promote_divulgacao,Wager Rebates,,,,,,,,,Descontos Apostas,Reembolsos de apuestas
UI_Promote_Cashback,Refer Members,,,,,,,,,Indicar membros,Recomendar miembros
UI_Promote_Direto,Level 1,,,,,,,,,Nível 1,Nivel 1
UI_Promote_Level2,Level 2,,,,,,,,,Nível 2,Nivel 2
UI_Promote_Level3,Level 3,,,,,,,,,Nível 3,Nivel 3
UI_Member,Member,,,,,,,,,Membro,Miembro
UI_Promote_Commission_today,Commission today,,,,,,,,,A Comissão hoje,Comisión hoy
UI_Promote_DirectComToday,Direct commission today,,,,,,,,,Comissão direta hoje,Comisión directa hoy
UI_Promote_DirectmembersNew,Direct members(new),,,,,,,,,Membros diretos (novos),Miembros directos (nuevo)
UI_Promote_NumberofTeamNew,Number of Team(new),,,,,,,,,Número da Equipe (nova),Número de equipo (nuevo)
UI_Promote_ShareLink,Your referral link,,,,,,,,,Seu link de referência,Tu enlace de referencia
UI_Promote_ShareTitle,Share via:,,,,,,,,,Compartilhar via:,Compartir via:
UI_Notice_Hide,Fold,,,,,,,,,Dobrar,Doblar
UI_Menu_Allpromotions,All promotions,,,,,,,,,Todas promoções,Todas las promociones
UI_Menu_AllGames,Home,,,,,,,,,Casa,Hogar
UI_Top_Wallet,Deposit,,,,,,,,,Depósito,Depósito
UI_Official_Channel,Official Channel,,,,,,,,,Official Channel,Official Channel
UI_BOTTOM_TXT,This website offers gaming with risk experience. To be a user of our site you must be over 18 y.o. We are not responsible for the violation of your local laws.,,,,,,,,,"Este site oferece jogos com experiência de risco. Para ser um usuário do nosso site, você deve ter mais de 18 anos. Não somos responsáveis",Este sitio web ofrece juegos con experiencia de riesgo. Para ser usuario de nuestro sitio debe ser mayor de 18 años. No somos responsables de la violación de sus leyes locales.
UI_PLAYER_INFO,Edit,,,,,,,,,Editar,editar
UI_PLAYER_USERNAME,Change username,,,,,,,,,Mudar nome de usuário,Cambie el nombre de usuario
UI_CASHOUT_DokyPay,DokyPay,,,,,,,,,Pagamento Doky,DokyPay
UI_CASHOUT_Cashfree,Cashfree,,,,,,,,,Sem dinheiro,sin efectivo
UI_CASHOUT_ENTERTOP,Enter your amount,,,,,,,,,Digite seu valor,Ingrese su cantidad
UI_CASHOUT_ENTER_AMOUNT,Please enter your amount,,,,,,,,,"Por favor, insira seu valor",Por favor ingrese su cantidad
UI_CASHOUT_Mypay,Mypay,,,,,,,,,Meu pagamento,Mi pago
UI_CASHOUT_Corrente,Corrente,,,,,,,,,Corrente,Corrente
UI_CASHOUT_Poupan,Savings,,,,,,,,,Poupança,Ahorros
UI_REFER_EARN,REFER\nEARN,,,,,,,,,REFERIR\nGANHE,REFERIR\nGANAR
UI_BETTING_BONUS,BETTING\nBONUS,,,,,,,,,APOSTAS\nBÔNUS,APUESTAS\nBONO
UI_Log_in,Log in,,,,,,,,,Entrar,Iniciar sesión
UI_Sign_Up,Register,,,,,,,,,Registro,Registro
UI_Login,Login,,,,,,,,,Entrar,Iniciar sesión
UI_Signup,Register,,,,,,,,,Registro,Registro
UI_Remember,Remember me,,,,,,,,,Lembre de mim,Acuérdate de mí
UI_EnterMail,Email,,,,,,,,,Email,Correo
UI_Forget_Password,Forget password?,,,,,,,,,Esqueceu a senha?,¿Contraseña olvidada?
UI_Password,Password,,,,,,,,,Senha,Contraseña
UI_Orignupwith,Or sign up with,,,,,,,,,Ou inscreva-se com,O regístrate con
UI_BonttomSignUp,<<Sign Up,,,,,,,,,<<Inscreva-se,<<Registrarse
UI_Dont_account,Don't you have an account,,,,,,,,,Você não tem uma conta,no tienes una cuenta
UI_have_account,Already have an account?,,,,,,,,,Já possui uma conta?,¿Ya tienes una cuenta?
UI_BONTTOM_BYTIT,By accessing the site.I confirm that I am 18 years old and I have read the,,,,,,,,,Alcançando o local. Eu confirmo que eu tenho 18 anos velho e eu li,"Al acceder al sitio, confirmo que tengo 18 años y he leído el"
UI_BONTTOM_BYTIT1,I confirm that I am 18 years old and I have read the,,,,,,,,,"Informações de confirmação, tenho mais de 18 anos",Confirmo que tengo 18 años y he leído el
UI_Terms_of_Service,Terms of Service,,,,,,,,,Termos de serviço,Términos de servicio
UI_Receive_Email,Receive Email promos,,,,,,,,,Receba promoções por e-mail,Reciba promociones por correo electrónico
UI_Create_account,Confirm Change,,,,,,,,,Confirmar alteração,Confirmar cambio
UI_Redefinir_TOP,Confirm New Password,,,,,,,,,Confirme nova senha,Confirmar nueva contraseña
UI_Change_Password,Change Password,,,,,,,,,Mudar senha,Cambiar contraseña
UI_Confirm_Change,Confirm Change,,,,,,,,,Confirmar alteração,Confirmar cambio
UI_Promo_code,Promo code (optional),,,,,,,,,Código promocional (opcional),Código de promoción (Opcional)
UI_ForgotPassword_TOP,Forgot Password,,,,,,,,,Esqueceu a senha,Has olvidado tu contraseña
UI_Reset_Password,Reset password,,,,,,,,,Redefinir senha,Restablecer la contraseña
UI_Load_more,Load more,,,,,,,,,Carregue mais,Carga más
UI_Cashback_for_rank,Ratio of Bet Bonus,,,,,,,,,Relação do Bônus de Aposta,Relación de bonificación de apuesta
UI_BET_BONUS,BET  BONUS,,,,,,,,,BÔNUS DE APOSTA,BONO DE APUESTA
UI_BET_RATIO,RATIO,,,,,,,,,RAZÃO,proporción
UI_GAME_Player,Player,,,,,,,,,Jogador,Jugador
UI_GAME_Odds,Profit,,,,,,,,,Chances,Ganancia
UI_Notice_Personal,Personal,,,,,,,,,Personal,Personal
UI_Email_del,Delete,,,,,,,,,Excluir,Borrar
UI_View_all,View all,,,,,,,,,Ver tudo,Ver todo
UI_LOGIN_Phone,Phone,,,,,,,,,Telefone,Teléfono
UI_LOGIN_Mail,Mail,,,,,,,,,Correio,Correo
UI_Input_PixType,Input PixType,,,,,,,,,Pix de entradaTipo,ingresar tipo de pix
UI_Commossion,Withdrawal Fee:,,,,,,,,,Taxa de saque:,cargo por retiro 
UI_Input_Pix,Input Pix (CPF),,,,,,,,,Pix de entrada (CPF),ingresar pix(CPF)
UI_SLOT_BOUNS,BONUS WIN,,,,,,,,,BÔNUS DE VITÓRIA,GANANCIA DE BONIFICACIÓN
UI_SLOT_CREDIT,BALANCE,,,,,,,,,EQUILÍBRIO,Balance
UI_SLOT_BASE_BET,BASE BET,,,,,,,,,APOSTA BASE,APUESTA BÁSICA
UI_SLOT_History_BaseBet,BaseBet,,,,,,,,,Aposta Base,Apuesta base
UI_777slot_help1,"Select the game amount and then bet on the fruit, click the GO button to start the game",,,,,,,,,"Depois de ganhar na loteria, você pode escolher o tamanho do palpite, se adivinhar, o prêmio em dinheiro aumentará novamente","Seleccione la cantidad del juego y luego apueste a la fruta, haga clic en el botón IR para comenzar el juego"
UI_777slot_help2,"After winning the lottery, you can choose the size of the guess and the bonus will increase again if you guess correctly.",,,,,,,,,"Depois de ganhar na loteria, você pode escolher o tamanho do palpite e o bônus aumentará novamente se você adivinhar corretamente","Después de ganar la lotería, puede elegir el tamaño del acierto y la bonificación aumentará nuevamente si acierta."
UI_777slot2_HELP,HELP,,,,,,,,,HELP,HELP
UI_GAME_Earn,Earn,,,,,,,,,Ganhar,Ganar
UI_Charge_Deposit notes,Deposit notes,,,,,,,,,Notas de depósito,Notas de depósito
UI_Menu_DownloadHint,Scan code to download,,,,,,,,,Digitalize o código para baixar,Escanea el código para descargar
UI_Menu_downloadAndroid,Download for Android,,,,,,,,,Baixar para Android,Descargar para Android
UI_Menu_downloadApple,Download for App,,,,,,,,,Baixar para aplicativo,Descargar para la aplicación
UI_Menu_APPDownload,APP Download,,,,,,,,,Baixar APP,Descargar aplicación
UI_Login_prompt1,Your need to tick terms!,,,,,,,,,Sua necessidade de marcar termos!,¡necesitas marcar los términos!
UI_Login_prompt2,Your need to tick Email promos!,,,,,,,,,Sua necessidade de marcar promoções de e-mail!,¡necesitas marcar las promociones por correo electrónico!
UI_Login_prompt3,Your need to tick verification code!,,,,,,,,,Sua necessidade de marcar o código de verificação!,¡necesitas marcar el código de verificación!
UI_Login_prompt5,Email format error,,,,,,,,,Erro de formato de e-mail,Error de formato de correo electrónico
UI_Login_prompt6,The two passwords are inconsistent,,,,,,,,,As duas senhas são inconsistentes,Las dos contraseñas son inconsistentes.
UI_Login_prompt7,'Your password contains illegal characters!',,,,,,,,,Sua senha contém caracteres ilegais!,¡Tu contraseña contiene caracteres ilegales!'
UI_Retirada,Withdrawal,,,,,,,,,Retirada,Retiro
UI_Desbloqueie,Play to unlock more withdrawable amount,,,,,,,,,Jogue para desbloquear mais quantia extraível,Apuesta para desbloquear más cantidades retirables
UI_Saque_Disponível,Withdrawable Amount,,,,,,,,,Montante Saqueável,Monto Retirable
UI_Volor_resgate,Amount to be unlocked,,,,,,,,,Valor a ser desbloqueado,Cantidad a desbloquear
UI_recHis,Deposit History,,,,,,,,,Histórico de depósitos,Historial de depósitos
UI_wthHis,Withdrawal History,,,,,,,,,Histórico de retirada,Historial de retiros
UI_Date,Date,,,,,,,,,Encontro,Fecha
UI_ID_tran,Transaction ID,,,,,,,,,ID transação,ID de transacción
UI_Valor_do,Amount,,,,,,,,,Quantia,Importe
UI_Montante_real,Total Amount,,,,,,,,,Valor total,Cantidad total
UI_Taxa_da_retirada,Withdraw fee,,,,,,,,,Taxa de saque,Tarifa de retiro
UI_Account_History,Transactions,,,,,,,,,Transações,Actas
UI_Account_charge,charge,,,,,,,,,charge,cargar
UI_DownCopyed,Copied successfully. Download will start soon.,,,,,,,,,Copiado com sucesso. O download começará em breve.,Copiado con éxito. La descarga comenzará pronto.
UI_Copyed,Copy successful,,,,,,,,,Copiado com sucesso,Copia exitosa
UI_Share_Code_howdance,"Exclusive Affiliate Program, Making Money Easier",,,,,,,,,"Programa de afiliados exclusivo, tornando o dinheiro mais fácil","Programa exclusivo de afiliados, hacer dinero más fácil"
UI_Share_SeeAllbonuses,See all bonuses,,,,,,,,,Veja todos os bônus,Ver todos los Bonos
UI_Promote_TitleType,Type,,,,,,,,,Tipo,Tipo
UI_BODIAN_BETTIP,You can switch after the round,,,,,,,,,Você pode mudar após a rodada,Puedes cambiar después de la ronda.
UI_AllActivityBtnTitleMore,Click for more>>,,,,,,,,,Clique para mais>>,Haga clic para más>>
UI_TopCoupon,Promotion,,,,,,,,,Promoção,Promoción
UI_My_Profiler,My Profiler,,,,,,,,,Meu Profiler,Mi generador de perfiles
UI_AllActivityTitlePromocqes,Promotions,,,,,,,,,Promoções,Promociones
UI_TopMenuTitle,Refer,,,,,,,,,Partilhar,Referir
ExitTip,Press back again to exit,,,,,,,,,Press back again to exit,Pulse atrás de nuevo para salir
UI_Call_Ser,Customer service,,,,,,,,,Serviço de clientes,Servicio al Cliente
UI_Cash_Branckbank,Branck bank,,,,,,,,,Branck bank,sucursal bancaria
UI_Cash_BankCode,Bank code,,,,,,,,,Bank code,codigo bancario
UI_Cash_AccountDigit,Account digit,,,,,,,,,Account digit,dígito de la cuenta
UI_Balance,Balance,,,,,,,,,Equilíbrio,Balance
UI_Balance_explanation,"When the coding progress is 100% satisfied, the amount can be withdrawn into the account balance.",,,,,,,,,"Quando o progresso da codificação estiver 100% satisfeito, o valor poderá ser sacado no saldo da conta.","Cuando el progreso de la codificación está 100% satisfecho, la cantidad se puede retirar del saldo de la cuenta."
UI_WITHDRAw,WITHDRAW,,,,,,,,,SAQUE,Retirar
UI_Next,Next,,,,,,,,,Próximo,Siguiente
UI_TIP1,TIPS,,,,,,,,,DICAS,consejos
UI_BDHELP_1,"Before the countdown ends Press ""Bet"" and follow the rocket's flight.",,,,,,,,,"Antes que a contagem regressiva termine Pressione ""Apostar"" e siga o vôo do foguete.","Antes de que termine la cuenta regresiva, presiona ""Bet"" y sigue el vuelo del cohete."
UI_BDHELP_2,Withdraw funds before the rocket explodes in space to not lose the bet.,,,,,,,,,Retirar fundos antes da explosão do foguetão no espaço para não perder a aposta.,Retira fondos antes de que el cohete explote en el espacio para no perder la apuesta.
UI_Startthegame,Start the game,,,,,,,,,Comece a jogo,Comenzar el juego
UI_NUMBER_MINES,NUMBER OF MINES,,,,,,,,,NÚMERO DE MINAS,NÚMERO DE MINAS
UI_MINES_help1,"Place a bet, choose the amount of bombs and press 'Play'",,,,,,,,,"Faça uma aposta, escolha a quantidade de bombas e prima 'Play'","Haz una apuesta, elige la cantidad de bombas y presiona 'Jugar'"
UI_MINES_help2,"The greater the number of bombs on the playing field, the greater the win ratio.",,,,,,,,,"Quanto maior for o número de bombas no campo de jogo, maior é a proporção de vitória.","Cuanto mayor sea el número de bombas en el campo de juego, mayor será la proporción de ganancias."
UI_MINES_help3,but watch out for the bombs!,,,,,,,,, mas cuidado com as bombas!,pero cuidado con las bombas!
UI_MINES_help4,Get your winnings before you detonate a bomb and lose your bet!,,,,,,,,,Receba os seus ganhos antes de detonar numa bomba e perca a sua aposta!,¡Obtenga sus ganancias antes de que detone una bomba y pierda su apuesta!
UI_NEW_MINES_help1,"Place a bet, choose the amount of bombs and press 'Bet'",,,,,,,,,"Faça uma aposta, escolha a quantidade de bombas e aperte 'Jogar'","Haz una apuesta, elige la cantidad de bombas y presiona 'Jugar'"
UI_Wheel_Bind,Bind your phone number to get lucky draw,,,,,,,,,Bind your phone number to get lucky draw,Vincule su número de teléfono para obtener un sorteo
UI_Wheel_Remaining_times,Remaining Times:,,,,,,,,,Tempos restantes:,Tiempos restantes:
UI_Wheel_win,What can you win?,,,,,,,,,What can you win?,¿Qué puedes ganar?
UI_Wheel_Regra,Rule:,,,,,,,,,Regra:,Regla:
UI_Wheel_txt1,"1、Every bet amount of 5,000 wins 1 spin, up to 50 times a day.",,,,,,,,,"1、Cada valor de aposta de 5.000 ganha 1 rodada, até 50 vezes por dia.","1、Cada apuesta de 5000 gana 1 giro, hasta 50 veces al día."
UI_Wheel_txt2,2、Rotation is valid only on that day.,,,,,,,,,2、A rotação é válida apenas nesse dia.,2、La rotación es válida solo ese día.
