none,en-us,hi-in,th-th,zh-cn,zh-hk,vi-vn,id-id,in-telugu,in-marathi,pt-pt,es_co
UI_Game1051_SpinAction,"Tap to start spin at the current Bet Lines, Bet Size and Bet Level. ",,,,,,,,,"Toque para começar a rodar com as definições atuais de Linhas de aposta, Valor da aposta e Nível de aposta.","Toque para comenzar a girar con las configuraciones actuales de Líneas de apuestas, Monto de apuesta y Nivel de apuesta."
UI_Game1051_FastStopAction,"Tap the button or the game area during a spin to stop the reels.",,,,,,,,,"Toque no botão ou na área de jogo durante uma rodada para parar os cilindros.","Toca el botón o el área de juego durante un giro para detener los carretes."
UI_Game1051_PressSpaceAction,"Press the <Space> key to start spin at the current Bet Lines, Bet Size and Bet Level. (applicable to PC version only)",,,,,,,,,"Prima a tecla <Barra de espaço> para começar a rodar com as definições atuais de Linhas de aposta, Valor da aposta e Nível de aposta. (apenas aplicável à versão de PC)","Presione la tecla <Barra espaciadora> para comenzar a girar con las configuraciones actuales de Líneas de apuesta, Monto de apuesta y Nivel de apuesta. (Aplicable solo a la versión para PC)"
UI_Game1051_HoldSpaceBarAction,"Press and Hold <Space> key will continue game spins until it is released. (applicable to PC version only)",,,,,,,,,"Mantenha premida a tecla <Barra de espaço> para continuar a rodar até soltar a tecla. (apenas aplicável à versão de PC)","Mantenga presionada la tecla <Barra espaciadora> para continuar girando hasta que suelte la tecla. (Aplicable solo a la versión para PC)"
UI_Game1051_StopTitle,"Stop",,,,,,,,,"Parar","Parar"
UI_Game1051_StopAutoSpinAction,"Tap to stop Auto Spin. The number on the button indicates the remaining number of spins for Auto Spin.",,,,,,,,,"Toque para parar a Rodada automática. O número no botão indica o número restante de rodadas da Rodada automática.","Toca para detener el giro automático. El número en el botón indica el número restante de rondas de giro automático."
UI_Game1051_MinusTitle,"Minus",,,,,,,,,"Menos","Menos"
UI_Game1051_MinusAction,"Tap to reduce the Bet Amount.",,,,,,,,,"Toque para reduzir o Montante de Aposta.","Toca para reducir el monto de la apuesta."
UI_Game1051_PlusTitle,"Plus",,,,,,,,,"Mais","Más"
UI_Game1051_PlusAction,"Tap to increase the Bet Amount.",,,,,,,,,"Toque para aumentar as Opções de Aposta.","Toca para aumentar las opciones de apuestas."
UI_Game1051_WalletBalanceTitle,"Wallet Balance",,,,,,,,,"Saldo da Carteira","Saldo de billetera"
UI_Game1051_WalletBalanceAction,"Tap to display the balance of available wallets.",,,,,,,,,"Toque para apresentar o saldo das carteiras disponíveis.","Toca para mostrar el saldo de las billeteras disponibles."
UI_Game1051_BetOptionsTitle,"Bet Amount",,,,,,,,,"Valor de aposta","Valor de la apuesta"
UI_Game1051_BetAmountTap,"Tap to display the Bet Options.",,,,,,,,,"Toque para apresentar as Opções de Aposta.","Toque para mostrar las opciones de apuestas."
UI_Game1051_BetSizeAction,"Bet Size: Scroll to select the Bet Size.",,,,,,,,,"Aposta: Deslize para selecionar a Aposta.","Apuesta: desliza para seleccionar Apuesta."
UI_Game1051_BetLevelAction,"Bet Level: Scroll to select the Bet Level.",,,,,,,,,"Nível de aposta: Deslize para selecionar o Nível de aposta.","Nivel de apuesta: deslice para seleccionar el nivel de apuesta."
UI_Game1051_BetAmountAction,"Bet Amount: Scroll to select the Bet Amount.",,,,,,,,,"Valor de aposta: Deslize para selecionar o Valor de aposta.","Cantidad de la apuesta: deslice el dedo para seleccionar la cantidad de la apuesta."
UI_Game1051_MaxBetAction,"Max Bet: Tap to set Bet Size and Bet Level to maximum value.",,,,,,,,,"Aposta máxima: Toque para definir a Aposta e o Nível de aposta para os valores máximos.","Apuesta máxima: toque para establecer la apuesta y el nivel de apuesta en los valores máximos."
UI_Game1051_WinAmountTitle,"Win Amount",,,,,,,,,"Montante de Prémio","Monto del premio"
UI_Game1051_WinAmountAction,"Tap to display the Game History.",,,,,,,,,"Toque para apresentar o Histórico do Jogo.","Toca los valores para seleccionar el número de giros automáticos."
UI_Game1051_SpinOptionTitle,"Auto Spin",,,,,,,,,"Rodada automática","Giro automático"
UI_Game1051_AutoSpinPlayDescription,"Auto Spin automatically plays the game for a selected number of spins.",,,,,,,,,"A Rodada automática joga automaticamente durante o número de rodadas selecionado.","Auto Spin se reproduce automáticamente durante el número seleccionado de giros."
UI_Game1051_SelectAutoSpinRound,"Tap on the values to select number of Auto Spins.",,,,,,,,,"Toque nos valores para selecionar o número de Rodadas Automáticas.","Toca los valores para seleccionar el número de giros automáticos."
UI_Game1051_TurboSpinTitle,"Turbo Spin",,,,,,,,,"Rodada Turbo","Ronda Turbo"
UI_Game1051_TurboSpinAction,"Tap to enable or disable the Turbo Spin to reduce the duration of reel spins in the main game.",,,,,,,,,"Toque para ativar ou desativar a Rodada Turbo, que reduzirá a duração das rodadas do cilindro no jogo principal.","Toca para habilitar o deshabilitar Turbo Spin, lo que reducirá la duración de los giros de carrete en el juego principal."
UI_Game1051_MoreTitle,"More Settings",,,,,,,,,"Mais definições","Más configuraciones"
UI_Game1051_MoreAction,"Tap to access additional settings.",,,,,,,,,"Toque para aceder a definições adicionais.","Toca para acceder a configuraciones adicionales."
UI_Game1051_SoundTitle,"Sound",,,,,,,,,"Som","Costura"
UI_Game1051_SoundAction,"Tap to turn sound ON or OFF.",,,,,,,,,"Toque para ATIVAR ou DESATIVAR o som.","Toca para activar o desactivar el sonido."
UI_Game1051_PaytableTitle,"Paytable",,,,,,,,,"Tabela de pagamentos","Tabla de pagos"
UI_Game1051_PaytableAction,"Shows winning combinations and paytable.",,,,,,,,,"Mostra as combinações vencedoras e a tabela de pagamentos.","Muestra combinaciones ganadoras y tabla de pagos."
UI_Game1051_GameRuleTitle,"Rules",,,,,,,,,"Regras","Normas"
UI_Game1051_GameRuleAction,"Shows the game rules and button functions.",,,,,,,,,"Mostra as regras do jogo e as funções dos botões.","Muestra las reglas del juego y las funciones de los botones."
UI_Game1051_GameHistoryTitle,"History",,,,,,,,,"Histórico","Historia"
UI_Game1051_GameHistoryDescription,"Shows details of the previous games played. Scroll down to the end to load more records.",,,,,,,,,"Mostra os detalhes dos jogos anteriores. Desliza até ao fim da página para carregar mais registos.","Muestra detalles de juegos anteriores. Desplázate hasta el final de la página para cargar más registros."
UI_Game1051_GameHistoryActionWithIcon,"Tap<img src='ic_nav_calender'/>to select the dates of games to be shown in History.",,,,,,,,,"Toque em<img src='ic_nav_calender'/>para selecionar as datas dos jogos a apresentar no Histórico.","Toca <img src='ic_nav_calender'/> para seleccionar las fechas del juego y mostrarlas en el Historial."
UI_Game1051_CloseTitle,"Close",,,,,,,,,"Fechar","Cerrar"
UI_Game1051_CloseAction,"Tap to return to the Main Game.",,,,,,,,,"Toque para voltar ao Jogo principal.","Toca para regresar al juego principal."
UI_Game1051_AdditionInfoTitle,"Additional Information",,,,,,,,,"Informação adicional","Información adicional"
UI_Game1051_AdditionInfoInactiveGameSessions,"The game will automatically return to its initial state after being idle for 90 days. Progress and status of any collection games, unfinished free games, and unfinished feature games etc will no longer be retained.",,,,,,,,,"O jogo regressará automaticamente à sua fase inicial após estar inativo durante: 90 dias. O progresso e o estado de quaisquer jogos de recolha, jogos grátis não acabados, jogos extra não acabados, etc. já não será mantido.","El juego volverá automáticamente a su etapa inicial después de estar inactivo durante: 90 días. El progreso y el estado de cualquier colección de juegos, juegos gratuitos sin terminar, juegos adicionales sin terminar, etc. ya no se mantendrán."
UI_Game1051_AdditionInfoMalfunctionDescription,"Malfunction voids all pays and plays.",,,,,,,,,"O mau funcionamento anula todos os pagamentos e jogadas.","El mal funcionamiento anula todos los pagos y jugadas".
UI_Game1051_AdditionInfoDisputeHistoryDescription,"In the event of disputes over game results, all game results that are shown in the game history page are absolute and final.",,,,,,,,,"Em caso de disputas sobre os resultados do jogo, todos os resultados do jogo mostrados na página do histórico do jogo são absolutos e finais.","En caso de disputas relacionadas con los resultados del juego, todos los resultados del juego que se muestran en la página del historial del juego son absolutos y definitivos."
UI_Game1051_HistoryCalendarDateRange,"Select Date Range",,,,,,,,,"Selecionar intervalo de datas","Seleccionar rango de fechas"
UI_Game1051_HistoryCalenderToday,"Today",,,,,,,,,"Hoje","Hoje"
UI_Game1051_HistoryCalenderWeek,"Last 7 days",,,,,,,,,"Últimos 7 dias","Últimos 7 días"
UI_Game1051_HistoryCalenderCustom,"Custom",,,,,,,,,"Personalizado","Costumbre"
UI_Game1051_HistoryCalenderStart,"Start",,,,,,,,,"Iniciar","Iniciar"
UI_Game1051_HistoryCalenderEnd,"End",,,,,,,,,"Terminar","Terminar"
UI_Game1051_HistoryCalendarConfirm,"Confirm",,,,,,,,,"Confirmar","Confirmar"
UI_Game1051_HistoryMainTitle,"Game History",,,,,,,,,"Histórico do jogo","Historia del juego"
UI_Game1051_HistoryNoHistory,"No Game History",,,,,,,,,"Sem histórico do jogo","Sin historial de juego"
UI_Game1051_HistoryRecords,"Records",,,,,,,,,"Registos","Archivos"
UI_Game1051_HistoryMainPageTime,"Time",,,,,,,,,"Tempo","Tiempo"
UI_Game1051_balance,Balance,,,,,,,,,Saldo,Balance
UI_Game1051_Lines,Lines,,,,,,,,,Linhas,Líneas
UI_Cash_StarColor_PixEmail,<b><color=#59677C>Email</color><color=#ff0000>*</color></b>,,,,,,,,,<b><color=#59677C>Email</color><color=#ff0000>*</color></b>,<b><color=#59677C>Correo</color><color=#ff0000>*</color></b>
General.General_111,Pagamento,,,,,,,,,Pagamento,Pagamento
UI.UIGameProgressView1,"Bonuses can be withdrawn directly without restrictions.",,,,,,,,,"Os bônus podem ser retirados diretamente sem restrições.","Los bonos se pueden retirar directamente sin restricciones."
UI.UIGameProgressView2,"<b>Earn <color=#F5CC06>R$1</c> for every <color=#F5CC06>R$20</c> bet and keep accumulating.</b>",,,,,,,,,"<b>Ganhe <color=#F5CC06>R$1</c> a cada <color=#F5CC06>R$20</c> apostados e contine acumulando.</b>","<b>Gana <color=#F5CC06>R$1</c> por cada <color=#F5CC06>R$20</c> apostada y sigue acumulando.</b>"
UI.UIGameProgressView3,BETTING BONUS,,,,,,,,,BÔNUS DE APOSTAS,BONO DE APUESTAS
UI.UIGameProgressView4,undone,,,,,,,,,Desfeito,Deshecho
UI.UIAllActivityBonus1,7*24 Customer Service,,,,,,,,,Atendimento ao cliente 7*24,Servicio al cliente 7*24
UI.UIAllActivityBonus2,Join the telegram channel,,,,,,,,,Junte-se ao canal de telegrama,Únete al canal de Telegram
UI.UIAllActivityBonus3,Join the official group,,,,,,,,,Junte-se ao grupo oficial,Únete al grupo oficial
UI.UIAllActivityBonus4,Check,,,,,,,,,Confira,Controlar
UI.UIActivityNewbieBonusGet1,"Make sure you enter the correct CPF and name, otherwise you will not be able to withdraw the money without any problems.",,,,,,,,,"Certifique-se de inserir o CPF e o nome corretos, caso contrário você não conseguirá sacar o dinheiro sem problemas","Asegúrate de ingresar el CPF y el nombre correctos; de lo contrario, no podrás retirar el dinero sin problemas."
UI.UIActivityNewbieBonusGet2,Please enter your CPF,,,,,,,,,Por favor insira seu CPF,Por favor ingrese su CPF
UI.UIActivityNewbieBonusGet3,Link CPF,,,,,,,,,Vincular cpf,vincular cpf
UI.UIActivityNewbieBonusDeposit1,"Dear friend, you need to make a small deposit to activate the bonus and you can claim it immediately after depositing.
The chance to win is right in front of you",,,,,,,,,"Caro amigo, você precisa fazer um pequeno depósito para ativar o bônus e poderá reivindicá-lo imediatamente após o depósito.
 A chance de vitória está bem na sua frente","Estimado amigo, debe realizar un pequeño depósito para activar el bono y podrá reclamarlo inmediatamente después del depósito.
 La oportunidad de ganar está justo frente a ti."
UI.UIActivityNewbieBonus3,Mission,,,,,,,,,Missão,Misión
UI.UIActivityNewbieBonus4,Register Account,,,,,,,,,Registar Conta,Registrar cuenta
UI.UIActivityNewbieBonus5,Join the telegram channel,,,,,,,,,Junte-se ao canal de telegrama,Únete al canal de Telegram
UI.UIActivityNewbieBonus6,Link phone number,,,,,,,,,Vincular número de telefone,Número de teléfono del enlace
UI.UIActivityNewbieBonus7,Download the APP and login,,,,,,,,,Baixe o APP e faça login,Baixe o APP e faça login
UI.UIActivityNewbieBonus8,Bonus amount,,,,,,,,,Valor do bônus,Valor do bônus
UI.UIActivityNewbieBonus9,Require,,,,,,,,,Requerer,Requerir
UI.UIActivityNewbieBonus11,Status,,,,,,,,,Status,Estado
UI.UIHallBottom1,The final gain/effect is subject to the rules of the game or event.,,,,,,,,,O ganho/efeito final está sujeito às regras do jogo ou evento,La ganancia/efecto final está sujeto a las reglas del juego o evento.
UI.UIActivityLossRebate1,"<size=26><color=#f9de06>TERMS AND RULES</color></size>
1. Weekly cashback is given as a reward every week.
2. The period for which the weekly cashback is calculated is from Monday 00:00 to Sunday 23:59.
3. Cashback claim times: From Monday of the next week 06:00 to Friday 23:59, it will expire if not redeemed.
4. The number of real money losses multiplied by the cashback % is the cashback/cashback for the week.
5. If you did not make a deposit during the period when the cashback was active or if your winnings for the last week or total winnings are greater than your losses, you will not receive cashback. 6. Maximum cashback reward limit per person per week: no maximum limit
7. The cashback amount can be withdrawn directly or used to continue playing<br/>",,,,,,,,,"<size=26><color=#f9de06>TERMOS E REGRAS</color></size>
1. O cashback semanal e dado como recompensa todas as semanas.
2. 0 periodo sobre o qual  calculado o cashback semanal vai de segunda-feira as 00:00 a domingo as 23:59.
3. Horas de solicitacao do cashback: De segunda-feira da proxima semana06:00 a sexta-feira 23:59, expirara se nao for resgatado
4. 0 numero de Perdas de dinheiro real multiplicado pela % de reembolso e oreembolso/cashback da semana.
5. Caso voce nao tenha atestado durante o periodo em que o cashback estavaativo ou se seus ganhos da iltima semana ou ganhos totais sao maiores quesuas perdas, voce nao recebera cashback.
6. Limite máximo de recompensa de cashback por pessoa por semana: sem limite máximo
7. 0 valor do cashback pode ser sacar diretamente ou utilizado para continuarjogando<br/>","<size=26><color=#f9de06>TÉRMINOS Y NORMAS</color></size>
1. El reembolso semanal se otorga como recompensa cada semana.
2. El periodo de cálculo del cashback semanal va desde el lunes a las 00:00 hasta el domingo a las 23:59.
3. Horarios de solicitud de cashback: Desde el lunes de la próxima semana a las 06:00 hasta el viernes a las 23:59, caducará si no se canjea
4. El número de pérdidas de dinero real multiplicado por el % de reembolso y el reembolso/reembolso de la semana.
5. Si no ha dado fe durante el período en el que el reembolso estuvo activo o si las ganancias de la última semana o las ganancias totales son mayores que sus pérdidas, no recibirá el reembolso.
6. Límite máximo de recompensa de reembolso por persona por semana: sin límite máximo
7. El importe del reembolso se puede retirar directamente o utilizar para seguir jugando<br/>"
UI.UIActivityLossRebate2,complaint time,,,,,,,,,tempo de reclamação ,tiempo de queja
UI.UIActivityLossRebate3,period ,,,,,,,,,período ,período 
UI.UIActivityLossRebate4,You will win <color=#FF5253>,,,,,,,,,Você vai ganhar <color=#FF5253>,Ganarás <color=#FF5253> 
UI.UIActivityLossRebate6, bets on,,,,,,,,, apostas em, apuestas en 
UI.UIActivityLossRebate7,Discounts currently available,,,,,,,,,Descontos atualmente disponíveis,Descuentos disponibles actualmente
UI.UIActivityFirstChargeUpgrade1,+100% BONUS,,,,,,,,,+100% BÔNUS,+100% BONO
UI.UIActivityFirstChargeUpgrade2,+200% BONUS,,,,,,,,,+200% BÔNUS,+200% BONO
UI.UIActivityFirstChargeUpgrade3,DEPOSIT,,,,,,,,,DEPÓSITO,DEPÓSITO
UI.UIActivityFirstChargeUpgrade4,"NEW USER FIRST DEPOSIT
LIMITED TIME UPGRADE BONUS",,,,,,,,,"PRIMEIRO DEPÓSITO DO NOVO USUÁRIO
UPGRADE BÔNUS POR TEMPO LIMITADO","PRIMER DEPÓSITO DEL NUEVO USUARIO
BONO DE ACTUALIZACIÓN POR TIEMPO LIMITADO"
UI.UIActivityFirstChargeUpgrade5,Limited time,,,,,,,,,Tempo limitado,tiempo limitado
UI.UIAccountBalanceChangeRecord1,Time,,,,,,,,,Tempo,Tempo
UI.UIAccountBalanceChangeRecord2,withdraw,,,,,,,,,retirar,retirarse
UI.UIBonusUnfrozen1,Bonus Balance,,,,,,,,,Saldo De Bônus,Saldo de bono
UI.UIBonusUnfrozen2,Effective bet value,,,,,,,,,Valor efetivo da aposta,Valor efectivo de la apuesta
UI.UIBonusUnfrozen3,Bonus to be unfrozen,,,,,,,,,Bonus a ser descongelado,Bono por descongelar
UI.UIBonusUnfrozen4,rule,,,,,,,,,regra,regla
UI.UIBonusUnfrozen5,"1. Accumulate the “effective bet amount“ and reach the bonus task target to unfreeze the bonus",,,,,,,,,"1. Acumule o “valor efetivo da aposta“ e alcance a meta da tarefa de bônus para descongelar o bônus","1. Acumule el “cantidad de apuesta efectiva“ y alcance el objetivo de la tarea de bonificación para descongelar la bonificación."
UI.UIBonusUnfrozen7,"3. After completing the task, the corresponding bet amount will be automatically deducted and the bonus will be unfrozen.",,,,,,,,,"3. Após a conclusão da tarefa, o valor da aposta correspondente será automaticamente deduzido e o bônus será descongelado.","3. Después de completar la tarea, el monto de la apuesta correspondiente se deducirá automáticamente y el bono se descongelará."
UI.UIBonusUnfrozen8,"4. Unfrozen bonuses are added to your balance and can be used in any game",,,,,,,,,"4. Os bônus descongelados são adicionados ao seu saldo e podem ser usados ​​em qualquer jogo","4. Los bonos descongelados se agregan a tu saldo y se pueden usar en cualquier juego."
UI.UIBonusUnfrozen9,"5. Click the arrows to prioritize specific bonuses and unfreeze them first, prioritizing tasks with lower bet multipliers for easier unfreezing",,,,,,,,,"5. Clique nas setas para priorizar bônus específicos e descongelá-los primeiro, priorizando tarefas com multiplicadores de apostas mais baixos para facilitar o descongelamento","5. Haga clic en las flechas para priorizar bonos específicos y descongelarlos primero, priorizando tareas con multiplicadores de apuestas más bajos para facilitar el descongelamiento."
UI.UIBonusUnfrozen10,"Click to expand",,,,,,,,,"Clique para expandir","Haga clic para ampliar"
UI.UIBonusUnfrozen11,"Not Thawed",,,,,,,,,"Não Descongelado","No descongelado"
UI.UIBonusUnfrozen12,Defrosted,,,,,,,,,Descongelado,Descongelado
UI.UIBonusUnfrozen13,Bonus Amount:,,,,,,,,,Valor Do Bônus:,Valor de bonificación:
UI.UIBonusUnfrozen14,Task Progress:,,,,,,,,,Progresso Da Tarefa:,Progreso de la tarea:
UI.UIBonusUnfrozen15,Time Remaining,,,,,,,,,Tempo Restante,Tiempo restante
UI.UIBonusUnfrozen16,In Progress,,,,,,,,,Em Progresso,En curso
UI.UIBonusUnfrozen17,Waiting,,,,,,,,,Aguardando,Espera
UI.UIBonusUnfrozen18,Defrosted,,,,,,,,,Descongelado,Descongelado
UI.UIBonusUnfrozen19,Collect,,,,,,,,,Coletar,Recolectar
UI.UIStoreAndCash1,Just once,,,,,,,,,Apenas uma vez,Sólo una vez
UI.UIActivityNewbieBonusDeposit1,"After the deposit is completed, the balance will be updated in about 1 to 3 minutes at most",,,,,,,,,"Após a conclusão do depósito, o saldo será atualizado em cerca de 1 a 3 minutos, no máximo","Una vez completado el depósito, el saldo se actualizará en aproximadamente 1 a 3 minutos como máximo"
UI_Game1052_FDMultiplierReel1,Cilindro multiplicador,,,,,,,,,Cilindro multiplicador,Carrete multiplicador
UI_Game1052_FDMultiplierReel2,"Durante qualquer rodada, o cilindro multiplicador na parte inferior dos cilindros irá rodar para revelar o espaço em branco, x2, x5 ou x10.",,,,,,,,,"Durante qualquer rodada, o cilindro multiplicador na parte inferior dos cilindros irá rodar para revelar o espaço em branco, x2, x5 ou x10.","Durante cualquier giro, el carrete multiplicador en la parte inferior de los carretes girará hasta revelar espacios en blanco o multiplicadores x2, x5 o x10."
UI_Game1052_FDMultiplierReel3,"Se o cilindro multiplicador revelar x2, x5 ou x10, todos os ganhos nessa rodada serão multiplicados pelo multiplicador revelado antes de os ganhos serem pagos.",,,,,,,,,"Se o cilindro multiplicador revelar x2, x5 ou x10, todos os ganhos nessa rodada serão multiplicados pelo multiplicador revelado antes de os ganhos serem pagos.","Si en el carrete multiplicador aparece x2, x5 o x10, todas las ganancias de ese giro se multiplicarán por dicha cifra antes de pagarlas."
UI_Game1052_FDFeature1,"Funcionalidade Dragão da Fortuna",,,,,,,,,"Funcionalidade Dragão da Fortuna","Función Dragón de la Fortuna"
UI_Game1052_FDFeature2,"Durante qualquer rodada, a Funcionalidade Dragão da Fortuna com 8 Rodadas da Fortuna pode ser ativada aleatoriamente enquanto os cilindros estão a rodar.",,,,,,,,,"Durante qualquer rodada, a Funcionalidade Dragão da Fortuna com 8 Rodadas da Fortuna pode ser ativada aleatoriamente enquanto os cilindros estão a rodar.","Durante cualquier giro, la Función Dragón de la Fortuna con 8 Giros de la Fortuna se puede activar aleatoriamente mientras los carretes están girando."
UI_Game1052_FDFeature3,"Durante a Funcionalidade Dragão da Fortuna, o cilindro multiplicador será expandido e 2 ou 3 multiplicadores serão atribuídos por cada Rodada da Fortuna.",,,,,,,,,"Durante a Funcionalidade Dragão da Fortuna, o cilindro multiplicador será expandido e 2 ou 3 multiplicadores serão atribuídos por cada Rodada da Fortuna.","Durante la Función Dragón de la Fortuna, el carrete multiplicador se expandirá y se otorgarán 2 o 3 multiplicadores por cada Giro de la Fortuna."
UI_Game1052_FDMaximumWin1,"Ganho máximo",,,,,,,,,"Ganho máximo","Premio máximo"
UI_Game1052_FDMaximumWin2,"O montante de ganho máximo corresponde a 2.500x o montante da aposta.",,,,,,,,,"O montante de ganho máximo corresponde a 2.500x o montante da aposta.","La cantidad máxima del premio es %{2500}x la cantidad apostada."
UI_Game1052_FDMaximumWin3,"Se o total de ganhos no jogo principal ou na Funcionalidade Dragão da Fortuna atingir  2.500x o valor da aposta, a rodada termina.",,,,,,,,,"Se o total de ganhos no jogo principal ou na Funcionalidade Dragão da Fortuna atingir  2.500x o valor da aposta, a rodada termina.","Si las ganancias totales en el juego principal o en la Función Dragón de la Fortuna alcanzan %{2500}x del importe de la apuesta, el giro finaliza."
UI_Game1052_SlotRulesShared1,"Aposta de Ganho Certo",,,,,,,,,"Aposta de Ganho Certo","Apuesta con Premio Seguro"
UI_Game1052_SlotRulesShared2,"A opção Aposta de Ganho Certo pode ser ativada para cada rodada, o que aumenta a aposta em 5x.",,,,,,,,,"A opção Aposta de Ganho Certo pode ser ativada para cada rodada, o que aumenta a aposta em 5x.","La opción Apuesta con Premio Seguro se podrá activar para cada giro en el que se incremente la apuesta por 5x."
UI_Game1052_SlotRulesShared3,"Ativar a Aposta de Ganho Certo garantirá um ganho por cada rodada (excluindo a Rodada da Fortuna).",,,,,,,,,"Ativar a Aposta de Ganho Certo garantirá um ganho por cada rodada (excluindo a Rodada da Fortuna).","Activar la Apuesta con Premio Seguro garantizará un premio en cada giro (excepto Giro de la Fortuna)."
UI_Game1052_SlotRulesShared4,"O Valor de Aposta Atual e o Nível de Aposta não serão afetados pela Aposta de Ganho Certo.",,,,,,,,,"O Valor de Aposta Atual e o Nível de Aposta não serão afetados pela Aposta de Ganho Certo.","La Apuesta con Premio Seguro no afectará al Tamaño de Apuesta ni al Nivel de Apuesta actuales."
UI_Game1052_SlotRulesShared5,"A opção Aposta de Ganho Certo pode ser ativada e desativada durante o jogo principal.",,,,,,,,,"A opção Aposta de Ganho Certo pode ser ativada e desativada durante o jogo principal.","La opción Apuesta con Premio Seguro se podrá activar y desactivar durante el juego principal."
UI_Game1052_FDRules1,"Fortune Dragon é uma slot de vídeo de 3 cilindros e 3 linhas com cilindro multiplicador até x10 e Rodadas da Fortuna com cilindro multiplicador expandido.",,,,,,,,,"Fortune Dragon é uma slot de vídeo de 3 cilindros e 3 linhas com cilindro multiplicador até x10 e Rodadas da Fortuna com cilindro multiplicador expandido.","Fortune Dragon es una tragaperras de vídeo con 3 carretes y 3 filas que incorpora un carrete multiplicador de hasta x10 y Giros de la Fortuna con carrete multiplicador expandido."
UI_Game1052_FDRules2,"O jogo é jogado com 5 linhas de aposta (fixas), um valor de aposta entre 1 e 10 e valores de aposta entre %{minChip} e %{maxChip}.",,,,,,,,,"O jogo é jogado com 5 linhas de aposta (fixas), um valor de aposta entre 1 e 10 e valores de aposta entre %{minChip} e %{maxChip}.","Se juega con 5 líneas de apuesta (fijas), un nivel de apuesta entre 1 y 10 y un tamaño de apuesta entre %{minChip} y %{maxChip}."
UI_Game1053_FMFeature1,"Funcionalidade Rato da Fortuna",,,,,,,,,"Funcionalidade Rato da Fortuna","Función Ratón de la Fortuna"
UI_Game1053_FMFeature2,"Durante qualquer rodada podem ser adicionados 3 símbolos Wild ao cilindro central enquanto os cilindros estão a rodar.",,,,,,,,,"Durante qualquer rodada podem ser adicionados 3 símbolos Wild ao cilindro central enquanto os cilindros estão a rodar.","Durante todos los giros, podrán añadirse 3 símbolos Wild al carrete central mientras los carretes estén girando."
UI_Game1053_FMFeature3,"O primeiro e o terceiro cilindros continuarão a rodar até haver ganho.",,,,,,,,,"O primeiro e o terceiro cilindros continuarão a rodar até haver ganho.","El primer y el tercer carrete volverán a girar hasta que consigas un premio."
UI_Game1053_FMMaxWin1,"Prémio Máximo",,,,,,,,,"Prémio Máximo","Premio máximo"
UI_Game1053_FMMaxWin2,"Quando os símbolos Wild ocupam todos os cilindros, é atribuído 1000x o montante da aposta total.",,,,,,,,,"Quando os símbolos Wild ocupam todos os cilindros, é atribuído 1000x o montante da aposta total.","Cuando los símbolos Wild ocupen todos los carretes, se te premiará con 1000x tu apuesta total."
UI_Game1053_FMGameRules1,"Fortune Mouse é uma slot de vídeo de 3 cilindros e 3 linhas com novas rodadas até haver ganho.",,,,,,,,,"Fortune Mouse é uma slot de vídeo de 3 cilindros e 3 linhas com novas rodadas até haver ganho.","Fortune Mouse es una vídeo tragaperras de 3 carretes y 3 filas con la función Regirar hasta ganar."
UI_Game1054_FortuneOxPayoutAndRulesShared1,"Funcionalidade Boi da Fortuna",,,,,,,,,"Funcionalidade Boi da Fortuna","Función Buey de la fortuna"
UI_Game1054_FortuneOxPayoutAndRulesShared2,"Durante qualquer rodada, a funcionalidade Touro da Sorte pode ser ativada aleatoriamente enquanto os cilindros estão a rodar.",,,,,,,,,"Durante qualquer rodada, a funcionalidade Touro da Sorte pode ser ativada aleatoriamente enquanto os cilindros estão a rodar.","Durante cualquier giro, la función Buey de la fortuna puede activarse aleatoriamente mientras los carretes estén girando."
UI_Game1054_FortuneOxPayoutAndRulesShared3,"Durante a funcionalidade Touro da Sorte, o primeiro e o terceiro cilindros partilham os mesmos símbolos e todos os cilindros voltam a rodar até haver ganhos.",,,,,,,,,"Durante a funcionalidade Touro da Sorte, o primeiro e o terceiro cilindros partilham os mesmos símbolos e todos os cilindros voltam a rodar até haver ganhos.","Durante la función Buey de la fortuna, el primer y el tercer carrete compartirán los mismos símbolos y todos los carretes regirarán hasta que consigas un premio."
UI_Game1054_FortuneOxPayoutAndRulesShared4,"Multiplicador x10",,,,,,,,,"Multiplicador x10","Multiplicador x10"
UI_Game1054_FortuneOxPayoutAndRulesShared5,"Quando um símbolo (e/ou símbolo Wild) ocupa todas as posições dos cilindros, os ganhos são multiplicados por x10.",,,,,,,,,"Quando um símbolo (e/ou símbolo Wild) ocupa todas as posições dos cilindros, os ganhos são multiplicados por x10.","Cuando un símbolo (y/o símbolo Wild) ocupe todas las posiciones de los carretes, el premio se multiplicará x10."
UI_Game1054_FortuneOxPayoutAndRulesShared6,"Tenha hipótese de ganhar até 2000x o montante total da aposta.",,,,,,,,,"Tenha hipótese de ganhar até 2000x o montante total da aposta.","Aprovecha la oportunidad para ganar hasta 2000 veces la cantidad total apostada."
